Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,Survey ID,visited_before,how_many_past_visits,What words or phrases on this list do you most associate with George Washington? Select all that apply.,,,,,,,,,,,,,,,,George Washington’s choices and actions affected many people who lived during his time,People living at the same time as George Washington influenced the choices he made,People in the past had the same values and beliefs as people today,George Washington's choices and actions do not affect the world today,The choices and actions of ordinary people from George Washington’s lifetime influenced the world today,George Washington was able to set his emotions aside to make important decisions,People and societies' beliefs and values change over time,Other (please specify),perceptions GW actions,One very important decision George Washington is remembered for was stepping away from the role of president when he could have been elected again.  How do you think George Washington felt when he stepped down as president? Why do you think he felt what way?,Imagine George Washington decided to stay president instead of stepping away from the role of president.  How do you think our world might be different today?  Anything else?,I do not think regular people can do much to make their community a better place,I think public figures can make the world a better place,I am inspired by the actions of regular people from the past to make the world a better place,I am inspired by in the actions of public figures from the past to make the world a better place,[TREATMENT ONLY] What was the highlight of your visit?  Tell me why that was the highlight.,[TREATMENT ONLY] What did you think about or learn at Mount Vernon that is relevant or inspiring to you?,I thought Mount Vernon presented information about the past from many different people's perspectives,I will tell my friends or family about my visit to Mount Vernon,I thought Mount Vernon was boring,I was surprised at how much I didn't know about George Washington and his life,I thought Mount Vernon was fun,I felt frustrated while visiting Mount Vernon,I'm curious to learn more about how George Washington influenced the world today,I felt amazed by Mount Vernon,I learned a lot more about hired workers and enslaved individuals at Mount Vernon than I expected,Visited GW house inside,Visited GW house outside,Visited slave quarters,Visited outbuildings,Visited farm,Visited Museum Ed Center,Saw live animals,Visited gardens orchards,Visited new tomb,Visited slave memorial,Visited Gristmill or Distillery,Learned about George Washington’s life and family,"Learned about trades like the blacksmith, shoemaker, cooking, textiles, etc.",Learned about the enslaved and hired people who lived and worked at Mount Vernon,Watched a performance of someone in costume,Watched the introductory movie at the Orientation Center,Watched one of the movies in the Museum or Education Center,Ate at the food court,Ate at the food truck,Ate at Mount Vernon Inn restaurant,Visited the shops,Attended a wreath laying or flag raising,Activity cart/discovery station,Hands on History Room,Took a picture of something I thought was interesting,,What is your favorite subject to learn about? Select one:,,Are you part of any clubs or youth organizations?,How old are you?,What state do you live in?,[If VA or MD] what city do you live in? ,Study group,Observed Gender:,Only child in group,Group included child(ren) 0-3,Group included child(ren) 4-7,Group included child(ren) 8-10 (other than interviewee),Group included child(ren) 11-14,Group included child(ren) 15-17,Day ,Date,Time ,Data Collector:,,Any programs happening?,,Other Notes
1.14E+11,421179304,9/30/2022 21:45,9/30/2022 21:48,69.255.24.203,,SM166,"No, I have not visited before today [skip to Q3]",,President,General,,,Slave Owner,,Leader,,,,,Husband/family man,,,,,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boy,Only child in group,,,,,,Weekday,8/9/2022,Afternoon,SM,,No,,Survey not complete because family had tour that started in 2 mins. I'd recommend that what few data was collected be discarded and not included - child didn't speak English. Parent insisted that he could still participate and he would act as translator. It seemed like there were moments when the parent provided feedback to son's response before communicating his answer - son appeared to change response accordingly.
1.14E+11,421179304,9/30/2022 21:43,9/30/2022 21:45,69.255.24.203,,SM165,"No, I have not visited before today [skip to Q3]",,President,,,,,,Leader,,Founder,,,,,,,,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,,All positive,"Anxious, just have a gut feeling that he would feel anxious.","I don't really know. (He didn't seem interested in thinking about this. His adult gave a response to  which he said, ""ditto - I don't really know."")",Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,History and current events,,Yes,10,North Carolina,,Control (entry),Boy,Only child in group,,,,,,Weekday,8/9/2022,Afternoon,SM,,No,,Data collector stationed inside orientation center. See SM 161 for more info on line placement.
1.14E+11,421179304,9/30/2022 21:12,9/30/2022 21:42,69.255.24.203,,SM164,"No, I have not visited before today [skip to Q3]",,President,,,,,,,,,,Advocate for religious freedom,Husband/family man,,,,,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,,Somewhat positive and somewhat negative,"He was ready to step down, it was time for someone else to be president",There would be...remembering and honoring GW would be bigger since he was president for longer.,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,History and current events,,No,8,Wisconsin,,Control (entry),Girl,Only child in group,,,,,,Weekday,8/9/2022,Morning,SM,,No,,Data collector stationed inside orientation center. See SM 161 for more info on line placement.
1.14E+11,421179304,9/30/2022 21:12,9/30/2022 21:40,69.255.24.203,,SM163,"No, I have not visited before today [skip to Q3]",,President,General,,,,,Leader,,,,,,,,"Other, please explain:","""definitely *not* a slave owner. why is this on here?""",Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat agree,,All positive,I've researched him and he wanted someone else to be president. He felt good about his decision and that's why he let someone else have a turn.,People might be the same. He would have felt bad to stay president. There wouldn't be the same rules.,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,No,8,Virginia,Ashburn,Control (entry),Boy,,,Group included child(ren) 4-7,,,,Weekday,8/9/2022,Morning,SM,,No,,"Child seemed distracted during most of the survey, looking over at family instead of looking at the Likert scale for question 4 and 8. I reminded him that he could end the survey whenever he wanted to."
1.14E+11,421179304,9/30/2022 21:12,9/30/2022 21:15,69.255.24.203,,SM162,"No, I have not visited before today [skip to Q3]",,President,General,,,,,Leader,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,,Somewhat positive and somewhat negative,"Maybe good because he let other people take turns. Maybe a little sad, but he felt like it was the right choice. Sad because it was  nice place.",I don't really know. (She thought about it for a solid minute before stating this.),Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Art and culture,,No,10,California,,Control (entry),Girl,,,Group included child(ren) 4-7,,,,Weekday,8/9/2022,Morning,SM,,No,,Data collector stationed inside orientation center. See SM 161 for more info on line placement.
1.14E+11,421179304,9/30/2022 21:06,9/30/2022 21:11,69.255.24.203,,SM161,"No, I have not visited before today [skip to Q3]",,President,,,,,,Leader,,,,,,,,,,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,,All positive,He felt good and then maybe hoped the next president would also do good and be good.,People might think they need a new president and GWs laws from back then would still be around today.,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Science and nature,,Yes,8,New Jersey,,Control (entry),Boy,,,Group included child(ren) 4-7,,,,Weekday,8/9/2022,Morning,SM,,No,,"Data collector stationed inside orientation center in lower lobby. Imaginary line was at bottom of steps/ramp. Once family agreed to survey, child was brought to bench close to exit doors/theater entrance. * Child seemed nervous/anxious/not fully present during 1st half of survey. Wasn't really looking at the Likert scale for question 4, seemed to just be throwing out numbers. I reminded him during the question that he could stop the survey anytime. He seemed to warm up a bit after questions 6 & 7. He seemed more attentive with question 8."
1.14E+11,421179304,9/30/2022 20:46,9/30/2022 21:06,69.255.24.203,,SM160,"No, I have not visited before today [skip to Q3]",,President,,,,,,Leader,,,,,,,,,,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,,Mostly positive and a little negative,"A little sad, but sometimes didn't want to be president, maybe he missed it. He did what he thought was right.","We would know him more, he'd be the 2nd president. We'd have different presidents",Strongly disagree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Science and nature,,Yes,10,Texas,,Control (entry),Girl,Only child in group,,,,,,Weekend day,8/7/2022,Afternoon,SM,,No,,"At conclusion of survey, family said they enjoyed visit - they had concluded their visit and only came back to orientation center for pictures."
1.14E+11,421179304,9/30/2022 20:46,9/30/2022 20:49,69.255.24.203,,SM159,"No, I have not visited before today [skip to Q3]",,,,Soldier,Farmer,Slave Owner,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,,Somewhat positive and somewhat negative,Felt he wanted people to follow what he did.,"Statues would be full of GW, more statues of GW would exist. People would respect him even more. Lots of presents on his brithday.",Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Math and puzzles,,No,8,Virginia,Clifton,Control (entry),Girl,,Group included child(ren) 0-3,Group included child(ren) 4-7,,,,Weekend day,8/7/2022,Afternoon,SM,,No,,"Survey was a little pressed for time - child's family seated themselves in theater to watch orientation film, child was eager to join them."
1.14E+11,421179304,9/30/2022 20:38,9/30/2022 20:46,69.255.24.203,,SM158,"Yes, I have visited before",,President,,Soldier,,,,Leader,,,,,,,,,,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,,All positive,Happy because he wanted to let a different person become president.,GW would have fixed the world and all the problems we have right now.,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other (please specify),Art classes,Yes,10,Virginia,Dale City,Control (entry),Boy,,,Group included child(ren) 4-7,Group included child(ren) 8-10 (other than interviewee),Group included child(ren) 11-14,,Weekend day,8/7/2022,Afternoon,SM,,No,,"Data collector stationed inside, see SM 148 for more info on location and placement."
1.14E+11,421179304,9/30/2022 20:25,9/30/2022 20:44,69.255.24.203,,SM157,"No, I have not visited before today [skip to Q3]",,President,General,,,,,Leader,,Founder,,Advocate for religious freedom,,,,,,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,,All positive,"Sad, happy, humble. He could have led U.S. to a better world. Happy he didn't have to do anymore work.",People would think the same way GW did and people would have been more influenced by GW,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Math and puzzles,,Yes,8,Virginia,Herndon,Control (entry),Boy,Only child in group,,,,,,Weekend day,8/7/2022,Afternoon,SM,,No,,"Data collector stationed inside, see SM 148 for more info on location and placement."
1.14E+11,421179304,9/30/2022 20:25,9/30/2022 20:42,69.255.24.203,,SM156,"No, I have not visited before today [skip to Q3]",,President,,Soldier,,,,Leader,,Founder,,,,,,"Other, please explain:",Founding Father,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,,Mostly positive and a little negative,"Felt like the country needed to learn how to say goodbye because he knows he's going to die eventually, ""I'll teach them how to say goodbye,"" from Hamilton.","Presidents would get lifetime term if they wanted. Maybe people wouldn't be able to say goodbye when GW died, they would have had a harder time.",Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other (please specify),Arts and sports (she took a long time trying to decide between the two),Yes,9,New York,,Control (entry),Girl,,,,,Group included child(ren) 11-14,,Weekend day,8/7/2022,Afternoon,SM,,No,,"Data collector stationed inside, see SM 148 for more info on location and placement."
1.14E+11,421179304,9/30/2022 20:25,9/30/2022 20:38,69.255.24.203,,SM155,"Yes, I have visited before",1 time,President,,,,,,Leader,,,,,Husband/family man,,,,,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,,Mostly positive and a little negative,"Felt ""I already had enough time, some people need a chance too.""",People could be president until they die.,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,,10,Virginia,Catlett,Control (entry),Girl,,Group included child(ren) 0-3,Group included child(ren) 4-7,Group included child(ren) 8-10 (other than interviewee),Group included child(ren) 11-14,,Weekend day,8/7/2022,Afternoon,SM,,No,,"Data collector stationed inside, see SM 148 for more info on location and placement."
1.14E+11,421179304,9/30/2022 20:25,9/30/2022 20:36,69.255.24.203,,SM154,"No, I have not visited before today [skip to Q3]",,,General,Soldier,,,,,,,,,,,,,"re: soldier ""he died when he got shot in battle""",Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,,Somewhat positive and somewhat negative,"Happy because he wanted to retire. He wanted to retire after 4 years anyways, but wasn't allowed to (people didn't want him to) so he was happy to finally retire after 4 more years.",Presidents today could have more than 2 terms.,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,History and current events,,No,10,Virginia,Fairfax,Control (entry),Boy,Only child in group,,,,,,Weekend day,8/7/2022,Afternoon,SM,,No,,"Data collector stationed inside, see SM 148 for more info on location and placement."
